bacchanalian	喝醉的，耍酒疯
boon	恩惠，福利
bland	温和的
bate	压制
baleful	恶意的，有害的
bane	祸根
bountiful	富足的；慷慨的
boundless	无限的
belated	推迟的，延期的
querulous	鸣不平的；易发牢骚的
quiescent	沉寂
boorish	粗鲁；笨拙
billowing	波涛翻滚
belligerent	好斗的，好斗嘴的
bustle	忙碌
biased	偏见的，偏差
betoken	预示；表示
buttress	支持
bulwark	壁垒
bedizen	俗丽，俗气
blasé	厌于享乐
baroque	华丽的
badinage	开玩笑，揶揄；取消
bigotry	固执
quixotic	空想的；狂想的
beeline	直线
brevity	简短，短暂
biennial	两年一度
babble	嘟囔
betray	出卖；背叛
belittle	蔑视，使渺小
bravado	虚张声势
beguile	欺骗；消磨时间
bumptious	自以为是
balk	阻挠；畏缩
bask	享受（温暖）；愉快，舒适
brandish	挥舞
benefactor	恩人，赞助人
burlesque	作秀，滑稽
blasphemy	亵渎
befuddle	迷惑
buccaneer	海盗
quaff	一饮而尽
quietude	平静；宁静
blunder	错误
quip	嘲弄；讽刺
bestow	给予
barterer	交易商
barricade	屏障；障碍物
bard	（吟游）诗人
qualified	有资格的；有限制的；被限制的
blare	大声喊叫，令人眩晕的强光
brawn	强壮的肌肉
ballast	配重；沙袋
begrudge	愤恨；嫉妒
blithe	欢乐，高兴
browbeat	吓唬
booming	快速增长的，欣欣向荣；深刻的
bicameral	两院制的（参，众）
query	问询；质问
baffle	挫败
besiege	围攻
broach	介绍，提出，引见
barren	荒芜的，贫瘠的
bungle	搞砸
bicker	争吵
quack	骗子；吹嘘的人
brazen	肆无忌惮
quail	懦弱；胆怯
benediction	祝福
quell	扑灭；镇压；平息
quench	弄湿；扑灭；熄灭；淬火
quaint	古怪；古雅
quirk	怪癖；twist
bemused	困惑的，发呆的
beneficiary	（遗产）受益人
beneficial	有用的
bluster	咆哮；吓唬
behemoth	怪物；怪兽
bizarre	怪异的
burly	魁伟，结实
breach	违约；突破；打破
beleaguer	攻击；使烦恼
quay	码头
bait	欺负，玩弄，折磨
bereft	失去的，缺少的
buoyant	可漂浮的，乐观的
bluff	直率；吓唬；悬崖
bungalow	小平房
beset	困扰
brindled	有条纹或斑点的
buxom	丰满；充满活力；欢快
boisterous	吵闹难管束
brooch	胸针
berate	严厉指责，谴责
buffoonery	滑稽的
belie	掩饰，造成假象；矛盾
blatant	喧闹；俗丽
quandary	两难的困境
bowdlerize	删除
bastion	堡垒；工事
breadth	宽度
quizzical	嘲弄的
burgeon	发芽，成长
beget	得子；产生
quarry	采石场，开采；猎物
quintessence	精粹；精华
benign	良性的，好的；和蔼可亲的
quarantine	隔离
brittle	易碎的；困难的
quibble	吹毛求疵
belabor	嘴贫，过度的说；谩骂
benevolent	慈善的
burnish	擦拭
brochure	小册子
betroth	订婚
exonerate	免罪
ejaculation	迸出；惊叹
exploit	开采利用；功绩
expedite	加速，催促
